id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
1,-1,Marine mammal sound classification based on a parallel recognition model and octave analysis,26,FR González,"Hernández, LP Sánchez,Fernández… , Applied Acoustics, 2017 , Elsevier","… Automatic classification of marine mammal sounds is perhaps the most challenging task in 
the field of animal … architectures for automatic classification of eleven marine mammal species …",https://www.sciencedirect.com/science/article/pii/S0003682X16305254,"https://scholar.google.com/scholar?cites=5684299814673234470&as_sdt=2005&sciodt=0,5&hl=en"
2,-1,Detection and classification of marine mammal sounds using AlexNet with transfer learning,5,"T Lu, B Han, F Yu "," Ecological Informatics, 2021 , Elsevier","… the automatic detection and classification of different marine … classification of three marine 
mammal sounds was discussed in … acoustic signals of marine mammals into a computer vision-…",https://www.sciencedirect.com/science/article/pii/S1574954121000686,"https://scholar.google.com/scholar?cites=3834605373536802343&as_sdt=2005&sciodt=0,5&hl=en"
3,-1,Hidden Markov and Gaussian mixture models for automatic call classification,75,"JC Brown, P Smaragdis "," The Journal of the Acoustical Society of …, 2009 , asa.scitation.org","… The automatic classification of marine mammal sounds is very … “Automated recognition of 
bird song elements from … dynamic time warping for automated recognition of bird song elements …",https://asa.scitation.org/doi/abs/10.1121/1.3124659,"https://scholar.google.com/scholar?cites=4297878755876748079&as_sdt=2005&sciodt=0,5&hl=en"
4,-1,A tristimulus-formant model for automatic recognition of call types of laying hens,2,"X Du, G Teng, C Wang, L Carpentier… "," Computers and Electronics …, 2021 , Elsevier","… their animal husbandry practices. In this study, we focus on the vocalisation bio-responses 
of birds and specifically develop a sound recognition technique for continuous and automatic …",https://www.sciencedirect.com/science/article/pii/S0168169921002386,"https://scholar.google.com/scholar?cites=14466519700055465098&as_sdt=2005&sciodt=0,5&hl=en"
5,-1,Seasonal variation of captive meagre acoustic signalling: a manual and automatic recognition approach,14,"M Vieira, BP Pereira, P Pousão","Ferreira, PJ Fonseca… , Fishes, 2019 , mdpi.com","… Table 1 refers to examples of automatic recognition systems for calls of different marine … 
1, 2 and 3 pulse calls were joined into a single category. Our automatic recognition system had …",https://www.mdpi.com/448280,"https://scholar.google.com/scholar?cites=2301541324142681023&as_sdt=2005&sciodt=0,5&hl=en"
6,-1,Classification of mysticete sounds using machine learning techniques,32,"XC Halkias, S Paris, H Glotin "," The Journal of the Acoustical Society …, 2013 , asa.scitation.org","… Automatic classification of marine mammal sounds remains a challenging task in the … 
Simard, “ Automatic recognition of fin and blue whale calls for real-time monitoring in the St. …",https://asa.scitation.org/doi/abs/10.1121/1.4821203,"https://scholar.google.com/scholar?cites=11074707504362559408&as_sdt=2005&sciodt=0,5&hl=en"
7,-1,Fuzzy-ChOA: an improved chimp optimization algorithm for marine mammal classification using artificial neural network,,"A Saffari, M Khishe, SH Zahiri "," Analog Integrated Circuits and Signal …, 2022 , Springer","… Recognition and classification of marine mammals using … In this regard, we collect underwater 
marine mammals sounds … in automatic recognition and classification of marine mammals …",https://link.springer.com/article/10.1007/s10470-022-02014-1,
8,-1,Performance metrics for marine mammal signal detection and classification,1,"JA Hildebrand, KE Frasier, TA Helble… "," The Journal of the …, 2022 , asa.scitation.org","… for studying automatic recognition of marine mammal sounds,… for known marine mammal 
sounds, present in realistic ocean … the marine mammal sounds and the background ocean noise…",https://asa.scitation.org/doi/abs/10.1121/10.0009270,"https://scholar.google.com/scholar?cites=2731929276479161825&as_sdt=2005&sciodt=0,5&hl=en"
9,-1,Overview of the 2005 workshop on detection and localization of marine mammals using passive acoustics,23,"O Adam, JF Motsch, F Desharnais, N DiMarzio… "," Applied Acoustics, 2006 , Elsevier","… Mellinger and Clark [7] describe MobySound: a reference archive for studying automatic 
recognition of marine mammal sounds. MobySound addresses some of the difficulties of …",https://www.sciencedirect.com/science/article/pii/S0003682X06001216,"https://scholar.google.com/scholar?cites=283902729433736087&as_sdt=2005&sciodt=0,5&hl=en"
10,-1,Marine mammals classification using acoustic binary patterns,1,"M Nadir, SM Adnan, A Sumair… "," Archives of Acoustics, 2020 , acoustics.ippt.gov.pl","… In this study, acoustic marine mammal classification is … to identify different classes of 
mammal sounds. Classification of six … To overcome this problem automatic recognition methods …",https://acoustics.ippt.gov.pl/index.php/aa/article/view/2625,"https://scholar.google.com/scholar?cites=17128343991825461691&as_sdt=2005&sciodt=0,5&hl=en"
11,-1,MobySound: A reference archive for studying automatic recognition of marine mammal sounds,78,"DK Mellinger, CW Clark "," Applied Acoustics, 2006 , Elsevier","… on automatic recognition of marine mammal sounds. The … to recorded sounds from a variety 
of marine species, sounds that can … sound-recognition methods on a common set of sounds, …",https://www.sciencedirect.com/science/article/pii/S0003682X06001356,"https://scholar.google.com/scholar?cites=4313400817026879215&as_sdt=2005&sciodt=0,5&hl=en"
12,-1,A time-frequency perceptual feature for classification of marine mammal sounds,5,"Y Ma, K Chen "," 2008 9th International Conference on Signal …, 2008 , ieeexplore.ieee.org","… The automatic recognition of marine mammal sounds is an … The key part of automatic 
recognition of underwater acoustic … human listeners in sound events classification suggests that …",https://ieeexplore.ieee.org/abstract/document/4697734/,"https://scholar.google.com/scholar?cites=15637037485562925731&as_sdt=2005&sciodt=0,5&hl=en"
13,-1,Methods for automatic detection of mysticete sounds,102,"DK Mellinger, CW Clark "," Marine & Freshwater Behaviour & Phy, 1997 , Taylor & Francis","… Methods for the automatic recognition of low-frequency sounds of baleen whales are presented. 
Matched filtering is implemented with a synthetic filter kernel derived from measure…",https://www.tandfonline.com/doi/abs/10.1080/10236249709379005,"https://scholar.google.com/scholar?cites=14118046624304302964&as_sdt=2005&sciodt=0,5&hl=en"
14,-1,Automatic recognition of fin and blue whale calls for real-time monitoring in the St. Lawrence,45,"X Mouy, M Bahoura, Y Simard "," … Journal of the Acoustical Society of …, 2009 , asa.scitation.org","… method has a promising potential for the recognition of marine mammal calls. Its performance 
is still slightly lower than the classical approach for the stereotyped calls; however, several …",https://asa.scitation.org/doi/abs/10.1121/1.3257588,"https://scholar.google.com/scholar?cites=10774117214654604670&as_sdt=2005&sciodt=0,5&hl=en"
15,-1,Recognizing transient low-frequency whale sounds by spectrogram correlation,335,"DK Mellinger, CW Clark "," The Journal of the Acoustical Society of …, 2000 , asa.scitation.org","… for the automatic recognition of transient animal sounds. Automatic recognition can be used 
in wild animal research, … , and most other marine mammal sounds. A few bearded seal …",https://asa.scitation.org/doi/abs/10.1121/1.429434,"https://scholar.google.com/scholar?cites=7774906410188596645&as_sdt=2005&sciodt=0,5&hl=en"
16,-1,Automatic recognition of harmonic bird sounds using a frequency track extraction algorithm,26,"JR Heller, JD Pinezich "," The Journal of the Acoustical Society of …, 2008 , asa.scitation.org","… automatic recognition of … Watkins, “Marine animal sound classification,” Technical Report 
13, Woods Hole Oceanographic Institution, Woods Hole, MA, 1994. on marine mammal sound …",https://asa.scitation.org/doi/abs/10.1121/1.2950085,"https://scholar.google.com/scholar?cites=18258110680201967776&as_sdt=2005&sciodt=0,5&hl=en"
