id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
1,-1,Surveillance of Marine Mammals in the Safety Zone around an Air Gun Array with the Help of a 360 Infrared Camera System,4,"J Weissenberger, DP Zitterbart - … on Health, Safety and Environment in …, 2012",onepetro.org,"… passive acoustic monitoring (PAM), Active Acoustic Monitoring (… an IR camera system for 
marine mammal detection during a … 939 marine mammals; 310 sightings of 534 marine mamals …",https://onepetro.org/SPEHSE/proceedings-abstract/12HSE/All-12HSE/SPE-158038-MS/158874,"https://scholar.google.com/scholar?cites=6203801522146985448&as_sdt=2005&sciodt=0,5&hl=en"
2,-1,Insights into Optimal Soft Start and Shutdown Procedures for Stationary or Moving Sound Sources,,"MA Ainslie, AM von Benda-Beckmann",2012 narcis.nl,"… To reduce the risk of impact on marine life of underwater sound generated by … is thought 
to increase the risk of hearing impairment and injury in marine mammals [3] and in fish [4]. For …",https://www.narcis.nl/publication/RecordID/oai:tudelft.nl:uuid%3Ae61a5841-8615-4121-bdbe-91f85855c9f4,
3,-1,Sensory systems,56,"G Dehnhardt - Marine mammal biology: An evolutionary …, 2002",books.google.com,"… Optical and acoustic cues were excluded by providing the seal with removable eye caps … 
water as well as in air, the eyes of marine mamals have to meet twofold requirements in order to …",https://books.google.com/books?hl=en&lr=&id=OwF05MfTagsC&oi=fnd&pg=PA116&dq=marine+mamals+acoustics&ots=mzpx7vxCE9&sig=NHHIU7astj0OOLdULcNOMj1PMJc,"https://scholar.google.com/scholar?cites=2783624711803744391&as_sdt=2005&sciodt=0,5&hl=en"
4,-1,Bioacoustic characteristic click sound and behaviour of male dolphins bottle nose (tursiops aduncus),16,"PD Wulandari, S Pujiyati, T Hestirianoto… - J Fisheries Livest …, 2016",academia.edu,"… This study using acoustic and behavioral observations of … fisheries, acoustic passive methods 
applied to monitor marine … Sound of mamals (dolphins) to in this research is the noise that …",https://www.academia.edu/download/44836978/bioacoustic-characteristic-click-sound-and-behaviour-of-male-dolphinsbottle-nose-tursiops-aduncus-2332-2608-1000160.pdf,"https://scholar.google.com/scholar?cites=4209713994017667304&as_sdt=2005&sciodt=0,5&hl=en"
5,-1,Bioacoustic characteristic of male dolphins bottle nose (Tursiops aduncus),15,"MZ Lubis, S Pujiyati… - International Journal of …, 2016",indianjournals.com,"… This research uses the method of the passive acoustic and … Signals obtained from recording 
sound marine mammals that … Sound of mamals (dolphins) to in this research is the noise …",https://www.indianjournals.com/ijor.aspx?target=ijor:ijset1&volume=5&issue=1&article=009,"https://scholar.google.com/scholar?cites=7858837287797139189&as_sdt=2005&sciodt=0,5&hl=en"
6,-1,Marine mammals of the Southern Ocean,67,"DP Costa, DE Crocker",1996 sonoma-dspace.calstate.edu,"… calls, we should be able to follow the acoustic behavior of individuals. For example, Chris 
Clark … into how marine mammals use low frequency signals, and how they respond to acoustic …",http://sonoma-dspace.calstate.edu/handle/10211.1/1411,"https://scholar.google.com/scholar?cites=13445468439118259931&as_sdt=2005&sciodt=0,5&hl=en"
7,-1,Woods Hole!,,A Samuels,1996 core.ac.uk,"… Of his book, Scamon (1874: 11) said: ""The chief object of ths work is to give as correct 
figures of the different speies of marine mamals... as could be obtained from a careful study of …",https://core.ac.uk/download/pdf/4164986.pdf,
8,-1,High-resolution behavioral mapping of electric fishes in Amazonian habitats,12,"MS Madhav, RP Jayakumar, A Demir, SA Stamper… - Scientific reports, 2018",nature.com,"… Audio systems that monitor autogenous acoustic signals, such as whale songs or bat … 
Acoustics 67, 1106–1117 Detection and localization of marine mamals using passive acoustics …",https://www.nature.com/articles/s41598-018-24035-5,"https://scholar.google.com/scholar?cites=9431905920706590787&as_sdt=2005&sciodt=0,5&hl=en"
9,-1,Beam Forming Property of Coded Acoustic Signal for Long-Range Acoustic Navigation of a Cruising Autonomous Underwater Vehicle,2,"Y Watanabe, H Ochi, T Shimura… - Japanese Journal of …, 2010",iopscience.iop.org,"… ing,17) or localization of see mamals.In this paper, a basic … the acoustic positioning signal 
transmitted from the ARP is estimated by the simple delayand-sum beam forming.The acoustic …",https://iopscience.iop.org/article/10.1143/JJAP.49.07HG13/meta,"https://scholar.google.com/scholar?cites=14503661485595888375&as_sdt=2005&sciodt=0,5&hl=en"
10,-1,Entwurf eines Echtzeit-Bildverarbeitungssystems zur automatischen Erkennung von Walen im Umfeld der Antarktis,,"M Ritter - 15 Jahre Künstliche Intelligenz an der TU Chemnitz, 2008",d-nb.info,"… Antarctic marine mamals and ocean acoustics. Konferenz-… de/acoustics/Publications/publications. 
html, 01.01. 2007. … Automatic Detection of Marine Mammals in the Vicinity of Polarstern-…",https://d-nb.info/1212667948/34#page=232,
11,-1,"SPECTRAL ANALYSIS WHISTLE, CLICK, DERUST SOUND OF DOLPHIN WITH BIO-ACOUSTIC METHOD",,"MZ Lubis, PD Wulandari",researchgate.net,"… in mamals of echolocation signals, data can be obtained from animals under natural conditions 
for which their sonar evolved. However, in field studies mamals … with the acoustic signal …",https://www.researchgate.net/profile/Muhammad-Zainuddin-Lubis/publication/300267967_SPECTRAL_ANALYSIS_WHISTLE_CLICK_DERUST_SOUND_OF_DOLPHIN_WITH_BIO-ACOUSTIC_METHOD/links/570a000e08ae8883a1fa5ac8/SPECTRAL-ANALYSIS-WHISTLE-CLICK-DERUST-SOUND-OF-DOLPHIN-WITH-BIO-ACOUSTIC-METHOD.pdf,
12,-1,FUNCTIoNAL AND DEscRIPTIvE ANATo oF THE BoTTLENosED DoLPHIN,,"RF Green, SH Ridgway, WE Evans",researchgate.net,"… Many as sume that our understanding of how this vast array of acoustic emissions are produced 
is … Evans, WE, 1973, Echo location by marine delphinids and one species of fresh-water …",https://www.researchgate.net/profile/Sam-Ridgway-2/publication/281313675_Functional_and_Descriptive_Anatomy_of_the_Bottlenosed_Dolphin_Nasolaryngeal_System_with_Special_Reference_to_the_Musculature_Associated_with_Sound_Production/links/55e8732508aeb65162630aab/Functional-and-Descriptive-Anatomy-of-the-Bottlenosed-Dolphin-Nasolaryngeal-System-with-Special-Reference-to-the-Musculature-Associated-with-Sound-Production.pdf,
13,-1,"Georgia's Coast: Tidal Flat Ecosystems, Ancient History, and Stewardship",,M Fairchild,mfairlady.com,"… Whether the underwater acoustics of the turbines harm marine life and how fish and marine 
mammals might interact with the turbine’s rotors… many marine species rely on the earth’s …",http://www.mfairlady.com/kayakinggeorgiacoast/,
14,-1,Distribution of cetaceans off the Society Islands (French Polynesia) as obtained from dedicated surveys,56,"A Gannier - Aquatic Mammals, 2000",cetaces.org,"… A passive acoustic device was used during two surveys, whose main focus was the … or 
oasis' can hardly be avoided by the marine ecologist involved in cetacean studies. In spite of …",https://www.cetaces.org/wp-content/uploads/2009/07/Gannier00_Society.pdf,"https://scholar.google.com/scholar?cites=12978187292339189396&as_sdt=2005&sciodt=0,5&hl=en"
15,-1,Harbour porpoises on Horns Reef-Effects of the Horns Reef wind farm. Annual status report 2003,2,"J Tougaard, J Carstensen, O Henriksen, J Teilmann…",2004 inis.iaea.org,"… Two species of marine mamals are abundant on Horns Reef and relevant to the wind farm: 
… gradual ramp-up of impact energy or underwater deployment of acoustic pingers and seal- …",https://inis.iaea.org/search/search.aspx?orig_q=RN:37113063,"https://scholar.google.com/scholar?cites=17602873129235239929&as_sdt=2005&sciodt=0,5&hl=en"
16,-1,Year-class strength and survival of O-group clupeoids,163,"PE Smith - Canadian Journal of Fisheries and Aquatic Sciences, 1985",cdnsciencepub.com,"… Global marine fish catch has been stable over the past decade but the clupeoid contribution 
has declined from one-half to one-third of the marine fish catch. Phis decline appears to be …",https://cdnsciencepub.com/doi/abs/10.1139/f85-263,"https://scholar.google.com/scholar?cites=7854730574076394651&as_sdt=2005&sciodt=0,5&hl=en"
17,-1,Publications of interest to the Marine Mammals Committee,,H Benke,vliz.be,"… Sperm whale acoustic survey off the Canary Islands, in an area of heavy maritime trafIk: 
prcliminary results. European Research on Cetaceans-8 Procecdings of the 8 Annual …",http://www.vliz.be/imisdocs/publications/275454.pdf,
18,-1,A hybrid underwater profiler used for persistent monitoring,8,"Y Zhu, X Xu, J Wang, C Yang, Q Li… - OCEANS 2015-MTS …, 2015",ieeexplore.ieee.org,"… The bottom-sitting keeps the HUP standing erect on the seabed realizing long-term acoustic 
monitoring especially for mamals. The ascending part works in gliding mode to rectify the …",https://ieeexplore.ieee.org/abstract/document/7401913/,"https://scholar.google.com/scholar?cites=6105133350818976184&as_sdt=2005&sciodt=0,5&hl=en"
19,-1,23rd Annual Conference of the European Cetacean Society “Climate Change and Marine Mammals”,,AMK Sitesi,2009 vliz.be,"… from DTAG acoustic recording tags … marine mamals. Findings can indicate that the low level 
of the anti-epizootic effectiveness of immune system was detected in the investigated marine …",http://www.vliz.be/imisdocs/publications/228940.pdf,
20,-1,Issuance of incidental harassment authorizations to Deepwater Wind for the take of marine mammals incidental to construction of the Block Island Wind Farm and …,,"J Fiorentino, D Wieting",2014 repository.library.noaa.gov,"… activities on marine mammals mainly involve acoustic effects; however, … marine mammal 
species and none is proposed to be authorized. NMFS expects that impacts to marine mamals …",https://repository.library.noaa.gov/view/noaa/5007,
